clave_letra,entidad,gasto_pond,entidad_int,estado,categoria
L,23,194598940.0,23,Quintana Roo,Esparcimiento
L,24,188673550.0,24,San Luis Potosí,Esparcimiento
L,25,171076460.0,25,Sinaloa,Esparcimiento
L,26,210014800.0,26,Sonora,Esparcimiento
L,27,120570030.0,27,Tabasco,Esparcimiento
L,28,223844460.0,28,Tamaulipas,Esparcimiento
L,29,39077210.0,29,Tlaxcala,Esparcimiento
L,30,406017800.0,30,Veracruz de Ignacio de la Llave,Esparcimiento
L,31,193318700.0,31,Yucatán,Esparcimiento
L,32,78965630.0,32,Zacatecas,Esparcimiento
M,1,1053915650.0,1,Aguascalientes,Transporte foráneo
M,2,2126415200.0,2,Baja California,Transporte foráneo
M,3,872427800.0,3,Baja California Sur,Transporte foráneo
M,4,478740600.0,4,Campeche,Transporte foráneo
M,5,1468533600.0,5,Coahuila de Zaragoza,Transporte foráneo
M,6,376139680.0,6,Colima,Transporte foráneo
M,7,1125354400.0,7,Chiapas,Transporte foráneo
M,8,2471388200.0,8,Chihuahua,Transporte foráneo
M,9,4972267500.0,9,Ciudad de México,Transporte foráneo
M,10,864049100.0,10,Durango,Transporte foráneo
M,11,1898936200.0,11,Guanajuato,Transporte foráneo
M,12,1296687600.0,12,Guerrero,Transporte foráneo
M,13,1142531500.0,13,Hidalgo,Transporte foráneo
M,14,3435944200.0,14,Jalisco,Transporte foráneo
M,15,3646363100.0,15,México,Transporte foráneo
M,16,2395644200.0,16,Michoacán de Ocampo,Transporte foráneo
M,17,827252160.0,17,Morelos,Transporte foráneo
M,18,590283840.0,18,Nayarit,Transporte foráneo
M,19,5045080000.0,19,Nuevo León,Transporte foráneo
M,20,928259600.0,20,Oaxaca,Transporte foráneo
M,21,1968663300.0,21,Puebla,Transporte foráneo
M,22,1274933600.0,22,Querétaro,Transporte foráneo
M,23,1111414400.0,23,Quintana Roo,Transporte foráneo
M,24,1475677400.0,24,San Luis Potosí,Transporte foráneo
M,25,2027284000.0,25,Sinaloa,Transporte foráneo
M,26,2653652200.0,26,Sonora,Transporte foráneo
M,27,674416260.0,27,Tabasco,Transporte foráneo
M,28,2213344300.0,28,Tamaulipas,Transporte foráneo
M,29,278052350.0,29,Tlaxcala,Transporte foráneo
M,30,2073340200.0,30,Veracruz de Ignacio de la Llave,Transporte foráneo
M,31,1286380500.0,31,Yucatán,Transporte foráneo
M,32,673433400.0,32,Zacatecas,Transporte foráneo
N,1,854709100.0,1,Aguascalientes,Servicios profesionales
N,2,2547343000.0,2,Baja California,Servicios profesionales
N,3,724399200.0,3,Baja California Sur,Servicios profesionales
N,4,498189950.0,4,Campeche,Servicios profesionales
N,5,2151910000.0,5,Coahuila de Zaragoza,Servicios profesionales
N,6,405233100.0,6,Colima,Servicios profesionales
N,7,674120770.0,7,Chiapas,Servicios profesionales
N,8,1818220500.0,8,Chihuahua,Servicios profesionales
N,9,8500345300.0,9,Ciudad de México,Servicios profesionales
N,10,811347800.0,10,Durango,Servicios profesionales
N,11,2293049900.0,11,Guanajuato,Servicios profesionales
N,12,1212612600.0,12,Guerrero,Servicios profesionales
N,13,1473360600.0,13,Hidalgo,Servicios profesionales
N,14,4741966000.0,14,Jalisco,Servicios profesionales
N,15,5236730000.0,15,México,Servicios profesionales
N,16,3282696700.0,16,Michoacán de Ocampo,Servicios profesionales
N,17,977178940.0,17,Morelos,Servicios profesionales
N,18,667674100.0,18,Nayarit,Servicios profesionales
N,19,3712516400.0,19,Nuevo León,Servicios profesionales
N,20,1004715000.0,20,Oaxaca,Servicios profesionales
N,21,2958339800.0,21,Puebla,Servicios profesionales
N,22,1456347800.0,22,Querétaro,Servicios profesionales
N,23,1080629000.0,23,Quintana Roo,Servicios profesionales
N,24,1342609800.0,24,San Luis Potosí,Servicios profesionales
N,25,1854479200.0,25,Sinaloa,Servicios profesionales
N,26,1830138500.0,26,Sonora,Servicios profesionales
N,27,624063170.0,27,Tabasco,Servicios profesionales
N,28,1624772600.0,28,Tamaulipas,Servicios profesionales
N,29,306153340.0,29,Tlaxcala,Servicios profesionales
N,30,3316528600.0,30,Veracruz de Ignacio de la Llave,Servicios profesionales
N,31,1187034500.0,31,Yucatán,Servicios profesionales
N,32,634798600.0,32,Zacatecas,Servicios profesionales
Q,1,0.0,1,Aguascalientes,
Q,2,0.0,2,Baja California,
Q,3,0.0,3,Baja California Sur,
Q,4,0.0,4,Campeche,
Q,6,0.0,6,Colima,
Q,8,0.0,8,Chihuahua,
Q,10,0.0,10,Durango,
Q,12,0.0,12,Guerrero,
Q,15,0.0,15,México,
Q,16,0.0,16,Michoacán de Ocampo,
Q,18,0.0,18,Nayarit,
Q,19,0.0,19,Nuevo León,
Q,21,0.0,21,Puebla,
Q,22,0.0,22,Querétaro,
Q,24,0.0,24,San Luis Potosí,
Q,25,0.0,25,Sinaloa,
Q,26,0.0,26,Sonora,
Q,27,0.0,27,Tabasco,
Q,29,0.0,29,Tlaxcala,
Q,31,0.0,31,Yucatán,
Q,32,0.0,32,Zacatecas,
R,1,1301378200.0,1,Aguascalientes,Energía y servicios
R,2,5570137600.0,2,Baja California,Energía y servicios
R,3,1124091900.0,3,Baja California Sur,Energía y servicios
R,4,656826750.0,4,Campeche,Energía y servicios
R,5,3564653800.0,5,Coahuila de Zaragoza,Energía y servicios
R,6,847054300.0,6,Colima,Energía y servicios
R,7,1657140700.0,7,Chiapas,Energía y servicios
R,8,5007342000.0,8,Chihuahua,Energía y servicios
R,9,11798329000.0,9,Ciudad de México,Energía y servicios
R,10,1185905900.0,10,Durango,Energía y servicios
R,11,4515911000.0,11,Guanajuato,Energía y servicios
R,12,1569487400.0,12,Guerrero,Energía y servicios
R,13,1674326800.0,13,Hidalgo,Energía y servicios
R,14,7350391300.0,14,Jalisco,Energía y servicios
R,15,12129355000.0,15,México,Energía y servicios
R,16,3155771400.0,16,Michoacán de Ocampo,Energía y servicios
R,17,1332595000.0,17,Morelos,Energía y servicios
R,18,892557060.0,18,Nayarit,Energía y servicios
R,19,9678600000.0,19,Nuevo León,Energía y servicios
R,20,1452229000.0,20,Oaxaca,Energía y servicios
R,21,3241496800.0,21,Puebla,Energía y servicios
R,22,2437055000.0,22,Querétaro,Energía y servicios
R,23,2025740000.0,23,Quintana Roo,Energía y servicios
R,24,1954437600.0,24,San Luis Potosí,Energía y servicios
R,25,3486270500.0,25,Sinaloa,Energía y servicios
R,26,4363567000.0,26,Sonora,Energía y servicios
R,27,1193914400.0,27,Tabasco,Energía y servicios
R,28,4110713600.0,28,Tamaulipas,Energía y servicios
R,29,611727400.0,29,Tlaxcala,Energía y servicios
R,30,5254317000.0,30,Veracruz de Ignacio de la Llave,Energía y servicios
R,31,1632716800.0,31,Yucatán,Energía y servicios
R,32,1121931300.0,32,Zacatecas,Energía y servicios
T,1,293133060.0,1,Aguascalientes,
T,2,363242300.0,2,Baja California,
T,3,158419410.0,3,Baja California Sur,
T,4,162434400.0,4,Campeche,
T,5,437944030.0,5,Coahuila de Zaragoza,
T,6,115020340.0,6,Colima,
T,7,188266670.0,7,Chiapas,
T,8,383148480.0,8,Chihuahua,
T,9,1103052800.0,9,Ciudad de México,
T,10,239722780.0,10,Durango,
